S.N.,Car Name,Model,Chasis Number,Colour,Mileage,Engine,Grade,Details,Landing,Location,Picture Drive Link ,Thumbnail Pic,All Images,Status,Drive Image
2,Toyota Corolla Axio 2019 Hybrid,2019,NKE165-7209832,Silver,"129,164",1500,3.5,"Lane assist, Toyota Safety Sense, Built-in ETC, Navigation, VSC ",,Dhaka,https://drive.google.com/drive/folders/138CpM7HGujq_KDfvZKWbq_AqbK3Y3PcV?usp=drive_link,https://drive.google.com/file/d/1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL/view?usp=drive_link,"https://drive.google.com/file/d/1Zgh6MmPA_MvLDOxpRT6TrDP8ZrCSZvt0/view?usp=drivesdk 
https://drive.google.com/file/d/183DraCxSW0KkbMptWW2Wu51RCyfZoThN/view?usp=drivesdk
https://drive.google.com/file/d/1MZ4rgKiYJiEyx0GfcOk3eTqGeOqMCBwW/view?usp=drivesdk
https://drive.google.com/file/d/1b4I3Fy6Ao32Zs5ufI3FjKQibHtBU7vBu/view?usp=drivesdk
https://drive.google.com/file/d/1hoOIKJ1_2xlJx8nmsqhri0bJoWhmz-sH/view?usp=drivesdk
https://drive.google.com/file/d/1mwrF_44wP4CxrbC7dKieaC1rohHiu7Sx/view?usp=drivesdk
https://drive.google.com/file/d/1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/138CpM7HGujq_KDfvZKWbq_AqbK3Y3PcV?usp=drive_link
3,Toyota Corolla Axio Silver 2019 Hybrid,2019,NKE165-7211116,Silver,"191,409",1500,3.5,"Toyota Safety Sense, Navigation, Built-in ETC, Keyless Entry",,Dhaka,https://drive.google.com/drive/folders/1cHjhw2sDflaSXf4o6HuvqsISlk-Wx72i?usp=drive_link,https://drive.google.com/file/d/1GWdAcL_XVEbtkCsapgWJ3R6CsS7w7mo6/view?usp=drive_link,"https://drive.google.com/file/d/128sFPd03RHAom5CY1LZDdQHWUs8wNq6Q/view?usp=drivesdk
https://drive.google.com/file/d/17k-NZ5v6LGW1a9d2yIAf_JLyLeobglNt/view?usp=drivesdk
https://drive.google.com/file/d/1GWdAcL_XVEbtkCsapgWJ3R6CsS7w7mo6/view?usp=drivesdk
https://drive.google.com/file/d/1NOkfsDI1S93J_u94Q-wOAZZ4A1FzbMc0/view?usp=drivesdk
https://drive.google.com/file/d/1PCDJqKmjb90HRwucs2YAkTVlNrngG1-F/view?usp=drivesdk
https://drive.google.com/file/d/1VJMjbi_aaojE4JNrTjnPQ1wvhAeAR4S9/view?usp=drivesdk
https://drive.google.com/file/d/1jlNMzoVlJuUIr_zwK7jf4Bna-xgUytJ8/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1cHjhw2sDflaSXf4o6HuvqsISlk-Wx72i?usp=drive_link
4,Toyota CH-R G Mode Nero,2019,DAA-ZYX10,Black,"147,215",1800,3.5,"Back up camera, Heated Seats",,Dhaka,https://drive.google.com/drive/folders/1Cu33r10RK0U_Bl_nnMghv9bgBTqER5rJ?usp=drive_link,https://drive.google.com/file/d/1outaEoIjjsK7vfyljjiaadkf0y6DhqHV/view?usp=drive_link,"https://drive.google.com/file/d/1PeiJNNhj69LerCg0uK-IjIAZ1uvPFpZj/view?usp=drivesdk 
https://drive.google.com/file/d/1OB43rHjDw4tl30JKm5PdxB9PBkCW-R3n/view?usp=drivesdk 
https://drive.google.com/file/d/1a76kaOfbToNaicstU8-8rMHuS1R0aiWP/view?usp=drivesdk 
https://drive.google.com/file/d/1bthCS8oHNuSQsTSmNg_N_BqQdlBVRTna/view?usp=drivesdk 
https://drive.google.com/file/d/1cB-GcPRluojV0URmYbhFMgWR0NGnkxy-/view?usp=drivesdk 
https://drive.google.com/file/d/1dWi1VK_-UkWGr82x6vVCQ3uuexbQcMXh/view?usp=drivesdk 
https://drive.google.com/file/d/1iZGsRbuW4bskrpfDY6Pb_Vou9RAz-QD4/view?usp=drivesdk 
https://drive.google.com/file/d/1iezn2cwBpfBnvYDAGGZ9AHlUzk2VDsTt/view?usp=drivesdk 
https://drive.google.com/file/d/1jCmKy-s8ks53X8PyltA20cRBrfNsPtEu/view?usp=drivesdk 
https://drive.google.com/file/d/1jR6CyQByRyoC8NHbVF3u_bO33HUyc3na/view?usp=drivesdk 
https://drive.google.com/file/d/1outaEoIjjsK7vfyljjiaadkf0y6DhqHV/view?usp=drivesdk 
https://drive.google.com/file/d/1yiNhGZ2MY24bTjP_ZRQoTwmaqPjHoiKT/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1Cu33r10RK0U_Bl_nnMghv9bgBTqER5rJ?usp=drive_link
5,Toyota Esquire 2019 Hybrid Xi Package,2019,ZWR80-0388069,Black,"85,708",1800,RA,"Toyota Safety Sense, Proximity Sonar sensor, power sliding door, navigation",,Dhaka,https://drive.google.com/drive/folders/1n4ZBMpyvCeJIUJIFPLVE9EpSYgg8KmZE?usp=drive_link,https://drive.google.com/file/d/1W6c7s6RSlBHD2PlliTGCDRQGPeOwC6Ks/view?usp=drive_link,"https://drive.google.com/file/d/1_QXx7W3e18kcXNliznxh-MdJ63ofePDm/view?usp=drivesdk 
https://drive.google.com/file/d/1BNnWzacPDcq6qLJricagP6iaxxhxIne4/view?usp=drivesdk 
https://drive.google.com/file/d/1EtGhkBe1CXbUGve3sIyRSCLFkVUcY9vO/view?usp=drivesdk 
https://drive.google.com/file/d/1W6c7s6RSlBHD2PlliTGCDRQGPeOwC6Ks/view?usp=drivesdk 
https://drive.google.com/file/d/1XAjLXTKaqRqzos2IjQKHmRX2wrGoBBzz/view?usp=drivesdk 
https://drive.google.com/file/d/1m3QSGpDmR7b3R2dlqpKRzkMqiQ8c1Nzj/view?usp=drivesdk 
https://drive.google.com/file/d/1qBI6VEXz2W5KzmWYp8z8r979EOZqFkSH/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1n4ZBMpyvCeJIUJIFPLVE9EpSYgg8KmZE?usp=drive_link
6,Toyota Noah Hybrid G Package,2021,DAA-ZWR80G,Black,"139,416",1800,3,"10 inch navigation screen, Back up camera, Toyota Safety Sense, power door, cruise control, smart key, led headlighs, front heated seats, proximity sensor",,Dhaka,"
https://drive.google.com/drive/folders/1nppEE4vmraq_ErpUaQr0NQiKsVnKCa6Y?usp=drive_link",https://drive.google.com/file/d/1qGerYGq9g-ovUYx-uvu6-LM6EiarBYaY/view?usp=drive_link,"https://drive.google.com/file/d/1ChbTrBxJ5QkN9GnQ6_7xs4mCqeoiouhi/view?usp=drivesdk 
https://drive.google.com/file/d/1-ylKMpvXDx7dkxJxRgEZMstQrPbslgj3/view?usp=drivesdk 
https://drive.google.com/file/d/10UOmu4a5dYfDKG6TGMUKH_jjuWu0kX2v/view?usp=drivesdk 
https://drive.google.com/file/d/1Mu_O4gsG9W21tVh0rul5j_0_Ka69jyWh/view?usp=drivesdk 
https://drive.google.com/file/d/1Zea9mLYhTAkp6Vzrt5Vp5kmxXC3tPxf6/view?usp=drivesdk 
https://drive.google.com/file/d/1ZlwZMJs2boRdcc5-zIW7UoDER3reZq2K/view?usp=drivesdk 
https://drive.google.com/file/d/1a2ER_7xLAgJYE7mVO-ul8H6XZqu7DaSj/view?usp=drivesdk 
https://drive.google.com/file/d/1qGerYGq9g-ovUYx-uvu6-LM6EiarBYaY/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1nppEE4vmraq_ErpUaQr0NQiKsVnKCa6Y?usp=drive_link
7,Toyota Noah Hybrid SI,2019,DAA-ZWR80W,Black,"156,695",1800,3.5,"Toyota Safety Sense, Clearance Sonar, PSE, Headlights & fog lamps, Power Slider Door, Front seat heater, full seg TV, Back guide monitor",,Dhaka,https://drive.google.com/drive/folders/1UqWLbe5MqH6RWbUCxts_4lU1WNVW9znI?usp=drive_link,https://drive.google.com/file/d/1Y_PWVWHbHYh4AiJy7Oz0zmhy8Emzx7pu/view?usp=drive_link,"https://drive.google.com/file/d/1HyK1P4kyqJh2s3y9DFHam6vTtTR1RAQm/view?usp=drivesdk 
https://drive.google.com/file/d/1CoO3OYQVlTS31I0ajrEwc9WkxqZ3wI3W/view?usp=drivesdk 
https://drive.google.com/file/d/1IK1Uz8aIyLIziOKjVkqHVchHFsnFIF_z/view?usp=drivesdk 
https://drive.google.com/file/d/1Ksqo8GmK_Dd0SzYk1S9Jc3gteYkWpvKj/view?usp=drivesdk 
https://drive.google.com/file/d/1Y_PWVWHbHYh4AiJy7Oz0zmhy8Emzx7pu/view?usp=drivesdk 
https://drive.google.com/file/d/1fP_KL0Q_mNgmEcOTLr8GbY9QXwHbXQKS/view?usp=drivesdk 
https://drive.google.com/file/d/1fsuGw9ok9iJ5JKZ-wTcNManOlYndMYn4/view?usp=drivesdk 
https://drive.google.com/file/d/1pEMxrcEdYMihiwrzAb_WqA-_eb6eqNUJ/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1UqWLbe5MqH6RWbUCxts_4lU1WNVW9znI?usp=drive_link
8,Toyota Esquire Hybrid GI Premium Package,2019,DAA-ZWR80G,Blue,"81,118",1800,R,"Push start, Navigation, Flip down monitor, Power sliding door on both sides, Leather seats",,Dhaka,https://drive.google.com/drive/folders/1YeGm-1r362H72slN0tayaINg06Pd5nSA?usp=drive_link,https://drive.google.com/file/d/14NSHzj0eNFy0pbczPGPFXr8xzkFNyyIC/view?usp=drive_link,"https://drive.google.com/file/d/11W4Rjqfly_UXpdJRiGQbVWIc-4DZ6Ub-/view?usp=drivesdk 
https://drive.google.com/file/d/13VYdCNZVAxnwfoiVMBp51-YUSQW0XI6F/view?usp=drivesdk 
https://drive.google.com/file/d/14NSHzj0eNFy0pbczPGPFXr8xzkFNyyIC/view?usp=drivesdk 
https://drive.google.com/file/d/18sHELpLcmX4Y-qyvaijP31bfu-qITlT_/view?usp=drivesdk 
https://drive.google.com/file/d/1ABST6-_Kn5saQAFnIJjviOVOCrHFvPHV/view?usp=drivesdk 
https://drive.google.com/file/d/1NSN6UfoIDxsFzoJrKMNE0T4E9vQA0AtG/view?usp=drivesdk 
https://drive.google.com/file/d/1Nmh62SoF0hyy7lppZXrN808XGEVx6Rvj/view?usp=drivesdk 
https://drive.google.com/file/d/1OR1aPM24HugZh9ckOpd4YAZsAefZAlA8/view?usp=drivesdk 
https://drive.google.com/file/d/1_UByZqdbRYAgj4JWcrVlrnGZCpbLiPgo/view?usp=drivesdk 
https://drive.google.com/file/d/1duxpvlrtVuyyKrGIQLK2y9tr-Z0_fdgd/view?usp=drivesdk 
https://drive.google.com/file/d/1pprB9x3XRJfLcavPEhZFLG8yrUoUOL7P/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1YeGm-1r362H72slN0tayaINg06Pd5nSA?usp=drive_link
9,Toyota C-HR 2019 S LED Package,2019,ZYX10-2171599,Black,"113,138",1800,4,"Push start, Toyota Safety Sense, Back monitor, Radar cruise control, Equipped with studless tires ",,Dhaka,https://drive.google.com/drive/folders/1drqMueq9n7eJGussKcClE4F5mcWaRuzs?usp=drive_link,https://drive.google.com/file/d/1zWIP5xrAapKlCCkS1HNtlz-h8dmofjTv/view?usp=drive_link," https://drive.google.com/file/d/11srU2HsYi6DUxFDokOQz7akQXTydN5HI/view?usp=drivesdk 
https://drive.google.com/file/d/1Po7BL9FndSnuUqFgfgG4c4ZMWxjJbLy6/view?usp=drivesdk 
https://drive.google.com/file/d/1Tryb02QWcZ3jqBd9BqaHHQUiimy1oIyM/view?usp=drivesdk 
https://drive.google.com/file/d/1UeYnz5npUDQgiuvp8AilScFBAlUefPl4/view?usp=drivesdk 
https://drive.google.com/file/d/1We7CN4zEm90NSl8xJbtUrVf1BHsD4OSr/view?usp=drivesdk 
https://drive.google.com/file/d/1pILFHJdoMVaCmnm41_WlMfA0vv5Eo3H7/view?usp=drivesdk 
https://drive.google.com/file/d/1zWIP5xrAapKlCCkS1HNtlz-h8dmofjTv/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1drqMueq9n7eJGussKcClE4F5mcWaRuzs?usp=drive_link
10,Toyota Corolla Touring Hybrid G-X Package,2020,6AA-ZWE211W,Blue,"96,912",1800,4,"Toyota Safety Sense, Display Audio",,Dhaka,https://drive.google.com/drive/folders/1GJ2tX8rzLL4PX5EGSmh8M_GPC3OYRS6_?usp=drive_link,https://drive.google.com/file/d/1_QSfjEe7h2X6P3ICZgoTyDZ47qhGvM7V/view?usp=drive_link," https://drive.google.com/file/d/16mWUb5jNomzVJkSVnphoV4ZPJQZjANXN/view?usp=drivesdk 
https://drive.google.com/file/d/18kvOlFJgtXPGS4ptzXLq-rmcYdvLGa4m/view?usp=drivesdk 
https://drive.google.com/file/d/19Fi1gO9xgeMyrORJrLqmYHTibwwOnjt7/view?usp=drivesdk 
https://drive.google.com/file/d/1BlYzNALgJf43ww51yNcGIhmP5mO0jhfm/view?usp=drivesdk 
https://drive.google.com/file/d/1NZT0-hFE8s-HlWfVqrbeECgm3Fzjy6FQ/view?usp=drivesdk 
https://drive.google.com/file/d/1QaJdR351dWArM1y0rnGH9pM1v8dWJnrv/view?usp=drivesdk 
https://drive.google.com/file/d/1fxcFm7PcC7GMKRW7iW2nfvJ04HE_scIA/view?usp=drivesdk 
https://drive.google.com/file/d/1kg5MSf5cav5vJXp-9RzC3KIsLy8IInDY/view?usp=drivesdk 
https://drive.google.com/file/d/1lby7E4Fj85y-yxfJE2oVlI1yE5YQF1cv/view?usp=drivesdk 
https://drive.google.com/file/d/1qTnCWPvgMhAcbE1tmMW4qnORfnIg3sSj/view?usp=drivesdk 
https://drive.google.com/file/d/1vWUMuh5dFHV13AFMDpQnOdKHkGhfOFCT/view?usp=drivesdk 
https://drive.google.com/file/d/14sGtcFIA6wmb7PEOlxkt052V_7OWOhMc/view?usp=drivesdk 
https://drive.google.com/file/d/1C_swXmyfL2LzpTW2WVovH6nxK4Kon2hu/view?usp=drivesdk 
https://drive.google.com/file/d/1Ep5tJcvgUCfYdc1pKrSMbnIyBbYRyuWr/view?usp=drivesdk 
https://drive.google.com/file/d/1IhozMyhmpBW_wMfbIitIGJrAE-wo8ltS/view?usp=drivesdk 
https://drive.google.com/file/d/1JHagQEtRN8fy9TvYlNWdvs6Wseb-CU9U/view?usp=drivesdk 
https://drive.google.com/file/d/1KKojZ1CvI8I6ck21S3Uh8AgGfET0joXn/view?usp=drivesdk 
https://drive.google.com/file/d/1LZQXniLxba6gFExW5JY3OUYAmJhic0U9/view?usp=drivesdk 
https://drive.google.com/file/d/1QKDIG9CSD6pG652gq8Q4w0VWKOBu8ZcB/view?usp=drivesdk 
https://drive.google.com/file/d/1RJ3d7UiSxybJKsJWNkuyL8mWHk2Z7KaW/view?usp=drivesdk 
https://drive.google.com/file/d/1Tn2XKBtCUumTGPB76_wwTPFjekv6m5wx/view?usp=drivesdk 
https://drive.google.com/file/d/1_QSfjEe7h2X6P3ICZgoTyDZ47qhGvM7V/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1GJ2tX8rzLL4PX5EGSmh8M_GPC3OYRS6_?usp=drive_link
11,Toyota Esquire Hybrid 2019 Hybrid Xi Package,2019,ZWR80-0376946,White,"106,547",1800,R,"Push start, Rear automatic air conditioner, ICS, Exrernal navigation, Toyota Safety Sense, Left side power slide",,Dhaka,https://drive.google.com/drive/folders/1f675fMJuPSZ2sgrABoDIqrLrVItT8g4f?usp=drive_link,https://drive.google.com/file/d/1GrI3XG9UfSoJv1IkJBmJYqzLKIGssTun/view?usp=drive_link,"  https://drive.google.com/file/d/1ClieTfZZDuAYaDE38Hxh82zcXqmWi-c5/view?usp=drivesdk 
https://drive.google.com/file/d/1GrI3XG9UfSoJv1IkJBmJYqzLKIGssTun/view?usp=drivesdk 
https://drive.google.com/file/d/1J0_ZqWYlh3fGz2xZm_-oX6f21tZ3P8OM/view?usp=drivesdk 
https://drive.google.com/file/d/1OdSbQPSTKQm8xr9jPiq5kbVPs9tF8Bq0/view?usp=drivesdk 
https://drive.google.com/file/d/1c3WByBvJwratREejZWQe5IbMUiFvGEtA/view?usp=drivesdk 
https://drive.google.com/file/d/1k_bkaX25NQbq8sXBcsBFRPb7jjBaypCp/view?usp=drivesdk 
https://drive.google.com/file/d/1n8hcMTwzKcokXuM2QfYt4jXrXpS1_Qfz/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1f675fMJuPSZ2sgrABoDIqrLrVItT8g4f?usp=drive_link
12,Toyota Noah 2019 Hybrid X Package,2019,ZWR80-0389611,Brown,"120,588",1800,R,"Toyota Safety Sense, Push start, Left side power sliding door, Cruise control",,Dhaka,https://drive.google.com/drive/folders/151qIB7cC8BY3y5TAf3adXk6bkBFkPWG9?usp=drive_link,https://drive.google.com/file/d/1KCEK_5tGVk9qOCA5Pzz4cwjywzti--zt/view?usp=drive_link,"  https://drive.google.com/file/d/13G7uvpdrFtQOCstRmu6P2l9VHTSTOaIL/view?usp=drivesdk 
https://drive.google.com/file/d/1BgME1DjT1jBCQLuJ6Dx-cqGc751BJmLE/view?usp=drivesdk 
https://drive.google.com/file/d/1CaLtnuVqrR9u2NIIeO_BYiizOsKr1vNr/view?usp=drivesdk 
https://drive.google.com/file/d/1KCEK_5tGVk9qOCA5Pzz4cwjywzti--zt/view?usp=drivesdk 
https://drive.google.com/file/d/1RYDUc7kHD9xbPpVpBygOmUKIRBmw1lb_/view?usp=drivesdk 
https://drive.google.com/file/d/1lTThwN0s5zlpAYKayMBHl25gAbqPaadS/view?usp=drivesdk 
https://drive.google.com/file/d/1qRCa97_XR7g5P5dcnA-L9d9-xC_NThg6/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/151qIB7cC8BY3y5TAf3adXk6bkBFkPWG9?usp=drive_link
13,Toyota Harrier Hybrid 2020 Z Leather Package,2020,AXUH80-0014238,Red,"21,918",2500,3,"Digital inner mirror, Panoramic view monitor, JBL sound",,Dhaka,https://drive.google.com/drive/folders/1OXDzS2oVxFrUTDEie1Y4F5UliiKA7Pid?usp=drive_link,https://drive.google.com/file/d/1L-ENPfRE_-3LXheujkhhbmjtKRQxO1tX/view?usp=drive_link," https://drive.google.com/file/d/1L-ENPfRE_-3LXheujkhhbmjtKRQxO1tX/view?usp=drivesdk 
https://drive.google.com/file/d/1TzMY7gX7IY5WH60Fk1qbcoIQ2_WX7O1h/view?usp=drivesdk 
https://drive.google.com/file/d/1UaAY3h9tTCWWKy4PqUjYdcB1MveUErb0/view?usp=drivesdk 
https://drive.google.com/file/d/1Z8Az0Qr0kAqJcUO1oYR763LWYjDJY13V/view?usp=drivesdk 
https://drive.google.com/file/d/1_70DJFvMAm7umt0m46L0GWGX_nXTbICm/view?usp=drivesdk 
https://drive.google.com/file/d/1gXNhlJzQgqfhku4yKxgl9-72TRxONB2i/view?usp=drivesdk 
https://drive.google.com/file/d/1uoHW0KrRbVdIpoN3FcSFFcU-iVZ5Ne3S/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1OXDzS2oVxFrUTDEie1Y4F5UliiKA7Pid?usp=drive_link
14,Toyota Hiace Long DX Package ,2019,CBF-TRH200V,White,"101,590",2000,3.5,"Toyota Safety Sense, Ride capacity: 3-9 people",,Dhaka,https://drive.google.com/drive/folders/1McBjZKBbcBWVq16mmbsOZukCezT4CI79?usp=drive_link,https://drive.google.com/file/d/1WPf4yhw5Tc1eJUw87WRC9KYitay5fyBD/view?usp=drive_link,"https://drive.google.com/file/d/11MfokeUAhdSDXFDF9hYCq7iPP3KPCq3x/view?usp=drivesdk 
https://drive.google.com/file/d/1LZd9T3Eg3CFYM-IF0zfO694M_PwawPVx/view?usp=drivesdk 
https://drive.google.com/file/d/1MsUHYM_6oKtFSt7RQnYon1WWUZ5mt5I4/view?usp=drivesdk 
https://drive.google.com/file/d/1WPf4yhw5Tc1eJUw87WRC9KYitay5fyBD/view?usp=drivesdk 
https://drive.google.com/file/d/1ZcRlopTJbpB5GyBUsEw7Joodt5-tmPJw/view?usp=drivesdk 
https://drive.google.com/file/d/1_XYmT_TyRURArjwfDx2wRGw6KOotlKdJ/view?usp=drivesdk 
https://drive.google.com/file/d/1g30AYN07N7M6RVt0hJRZbxIW3U-iSFyn/view?usp=drivesdk 
https://drive.google.com/file/d/1zTlejFaSefplBG7r6mBuEmGG10y2ebiT/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1McBjZKBbcBWVq16mmbsOZukCezT4CI79?usp=drive_link
15,Toyota Hiace Long DX Package,2020,TRH200-0315089,Silver,"109,456",2000,4,"Toyota Safety Sense, Keyless entry, Built-in ETC",,Dhaka,https://drive.google.com/drive/folders/1vDRqEpHrOEpax_Zlc3HPuAmVdOZh48ix?usp=drive_link,https://drive.google.com/file/d/1teCaEN160nraFGWHkgI3qWRN62i7AO6X/view?usp=drive_link,"https://drive.google.com/file/d/13vsr1ObUDjeiyawRCP3a6p-TWkKWz_UR/view?usp=drivesdk 
https://drive.google.com/file/d/18r96HnuZGG89jdLcKlBzScwttfIDJ77R/view?usp=drivesdk 
https://drive.google.com/file/d/1HD3by-71SB0cgrQ08h2oKvxq6g5-poSb/view?usp=drivesdk 
https://drive.google.com/file/d/1LTbcxdv3xWzwym0UrHTBri0d9DTD6oCU/view?usp=drivesdk 
https://drive.google.com/file/d/1NAKIMmJI2u-REWbY_u-sJg41DbJG-ZiF/view?usp=drivesdk 
https://drive.google.com/file/d/1qdBlkxOh63phuC5ctpSu1bwJpjghsVQM/view?usp=drivesdk 
https://drive.google.com/file/d/1teCaEN160nraFGWHkgI3qWRN62i7AO6X/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1vDRqEpHrOEpax_Zlc3HPuAmVdOZh48ix?usp=drive_link
16,Toyota  Corolla Axio 2019 Hybrid G Package,2019,NKE165-7205339,Brown,"204,843",1500,3.5,Toyota Safety Sense,,Dhaka,https://drive.google.com/drive/folders/1wCKIR2ne42gPfYkp9SuOnIHH2dgSSiv1?usp=drive_link,https://drive.google.com/open?id=1klQ2pAq_F7eCwnJ9SMkIZS-V60fwLaBd&usp=drive_copy," https://drive.google.com/file/d/12qvcKbOYJLbSZaVo7fVksf9cGgPh8BQL/view?usp=drivesdk 
https://drive.google.com/file/d/173zeQ2HxUn2_MGrHhilmA9L9_wr-LjY0/view?usp=drivesdk 
https://drive.google.com/file/d/1G4mw9DCST2AxGsHny8q8aXRDXV38vIck/view?usp=drivesdk 
https://drive.google.com/file/d/1LhYQUweAKTsq3s70NmMxqgSmAWYil52b/view?usp=drivesdk 
https://drive.google.com/file/d/1dGNRt1STSJMppho-0xzLw9wcPu-cdXUX/view?usp=drivesdk 
https://drive.google.com/file/d/1klQ2pAq_F7eCwnJ9SMkIZS-V60fwLaBd/view?usp=drivesdk 
https://drive.google.com/file/d/1ovVjiv8K9zVsfLDAKKjxV_jPeQs_bWpU/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1wCKIR2ne42gPfYkp9SuOnIHH2dgSSiv1?usp=drive_link
17,Toyota Noah 2019 Hybrid Si WxB II Package,2019,ZWR80-0382366,Black,"157,350",1800,3.5,"Back monitor, Power sliding door on both sides, Push start",,Dhaka,https://drive.google.com/drive/folders/1x83Jqphs7NAMlAwadveNuFNIhBtZZ_4E?usp=drive_link,https://drive.google.com/file/d/1OQySPIjQrn3XEYVRydJL2di-wGrHm2Ph/view?usp=drive_link," https://drive.google.com/file/d/16x7fK9F0kaZ88M392cyFmUhXjsqeYwEh/view?usp=drivesdk 
https://drive.google.com/file/d/18ByEhO1KCFpW5Qothl9jc0G8JdPIySmw/view?usp=drivesdk 
https://drive.google.com/file/d/1BJfVdpOXuNgEqbA3d19-E2WpsXdhXxQV/view?usp=drivesdk 
https://drive.google.com/file/d/1Jn5EZxEH2gEJCnt_RrqXDb6bgZU0TdGN/view?usp=drivesdk 
https://drive.google.com/file/d/1OQySPIjQrn3XEYVRydJL2di-wGrHm2Ph/view?usp=drivesdk 
https://drive.google.com/file/d/1Ww5TM3YZNFAv5LQ76WKkOWwPZyVe3Xzo/view?usp=drivesdk 
https://drive.google.com/file/d/1jKxHs5wS5ersUC5NwrwtRpfHgoIcm95y/view?usp=drivesdk 
https://drive.google.com/file/d/1l5iAjdVZJgb-6vq5_49y5Bat_20nd8QT/view?usp=drivesdk 
https://drive.google.com/file/d/1q_XfQ9g0HSS_H4Aicw-r3KWYoiu34CSu/view?usp=drivesdk 
https://drive.google.com/file/d/1rhVQxGxKQzWfte8EM1TQRhKchQvPWLOo/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1x83Jqphs7NAMlAwadveNuFNIhBtZZ_4E?usp=drive_link
21,Toyota CHR Red G Mode Package ,2019,DAA-ZYX10,Red,"135,325",1800,4,Cruise control,,Dhaka,https://drive.google.com/drive/folders/1PsuLcW9npPI7Ec5rKF1O7sSjy7x7IEKc?usp=drive_link,https://drive.google.com/file/d/1j2OY8avSJ3QYhG1CScgD5CTATqJiwMUE/view?usp=drive_link," https://drive.google.com/file/d/1-Bp67RP9t-F9N6gDZm6-1MnR4PD4nRgM/view?usp=drivesdk 
https://drive.google.com/file/d/1AKfBBEs4fo9DECD5DDxHq-c9ixwCOY0N/view?usp=drivesdk 
https://drive.google.com/file/d/1C6LiGOXEzK2-k-DTjk2yoA7UCVXoBHI_/view?usp=drivesdk 
https://drive.google.com/file/d/1Qi6TookDlf8OYJHJSo06XkpJ-0LIJXKq/view?usp=drivesdk 
https://drive.google.com/file/d/1hRg_jbstnA5aVEz2Hl1nzfH6CFgwZxDa/view?usp=drivesdk 
https://drive.google.com/file/d/1j2OY8avSJ3QYhG1CScgD5CTATqJiwMUE/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/1PsuLcW9npPI7Ec5rKF1O7sSjy7x7IEKc?usp=drive_link
23,Toyota Regius Ace Van Silver Long DX Package,2019,CBF-TRH200V,Silver,"97,736",2000,3,"Toyota Safety Sense, Recorder, Built-in ETC",,Dhaka,https://drive.google.com/drive/folders/17mE4Rc-97Ee2-lFYrkVQWBwJE_9CMjwg?usp=drive_link,https://drive.google.com/file/d/1tHduf1BVtJqGHWlugeD6yqli1lMn6ors/view?usp=drive_link,"https://drive.google.com/file/d/1sdJqUEZ1_aVFfhgM7dKFSxROIQ7_96D0/view?usp=drivesdk 
https://drive.google.com/file/d/18CA8i_AfpGOT-mERF9D2RgbRpdjNb4lD/view?usp=drivesdk 
https://drive.google.com/file/d/1AA4IKJnurt1HYfF3zkGhxNQPUeHLdCzV/view?usp=drivesdk 
https://drive.google.com/file/d/1Ba3pJWCOq4AxPuq6IHFv_V8rEHV4atUn/view?usp=drivesdk 
https://drive.google.com/file/d/1Wa9tpZDvhQZ1Nnph1uG0kJ1Mk6QJnyzk/view?usp=drivesdk 
https://drive.google.com/file/d/1g_-lIHXI5MWF0whyJn_cRqs1pt6X50pU/view?usp=drivesdk 
https://drive.google.com/file/d/1i1iWFFpbF4gzuXT4us7nH48Te_dIHbyA/view?usp=drivesdk 
https://drive.google.com/file/d/1mClqyPHTY0_m74_FUocl19-gkBBMkQXm/view?usp=drivesdk 
https://drive.google.com/file/d/1tHduf1BVtJqGHWlugeD6yqli1lMn6ors/view?usp=drivesdk ",Sold,https://drive.google.com/drive/folders/17mE4Rc-97Ee2-lFYrkVQWBwJE_9CMjwg?usp=drive_link
